,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
TWST,123.49734,1256087,140.122,1256087,0.764504,5623048704,55.62033,214.07,-40.416084,25.72,4
TWTR,52.47633,18033175,68.158,18033175,0.810942,48894853120,13.156691,80.75,50.21311,22.36,3
TXRH,78.21906,794750,92.086,794750,1.091549,6806688256,2.8383398,99.64,29.627272,33.21,4
TXT,44.97223,1091450,52.014286,1091450,1.741603,12412796928,1.0653846,57.04,15.947522,21.92,0
TYL,411.54208,243950,435.76715,243950,0.608342,17021114368,15.242839,479.79,64.2389,275.38,1
UAL,43.178345,18297650,52.145428,18297650,1.66143,18098991104,1.1787034,63.7,20.081274,18.18,0
UBSI,31.09446,653962,37.972,653962,1.385157,5117728256,5.4707737,41.61,17.17749,20.57,0
UDR,38.091797,1961562,43.02086,1961562,0.756229,13285706752,10.544137,46.03,447.59998,29.34,4
UFPI,57.919353,462550,65.083145,462550,1.493499,4525877248,0.8781294,73.44,14.28655,32.54,0
ULTA,274.1172,952300,323.33344,952300,1.770855,17070596096,2.7748256,351.0,25.483599,153.29,0
UMBF,69.85144,313925,87.62114,313925,1.068797,4518546944,3.892296,99.82,17.254145,40.02,4
UNF,206.82762,105850,238.60143,105850,1.070964,4339602944,2.4303143,258.86,29.885714,132.6,4
URI,235.62727,697512,298.9683,697512,2.135427,23858804736,2.7970464,330.79,15.399626,86.0,3
VAC,130.39014,419887,167.172,419887,2.640303,7064135168,3.8308759,190.97,16.910255,45.63,2
VAR,174.35532,747175,176.12057,747175,1.056338,16218732544,5.2014794,176.8,29.581242,92.24,1
VC,112.27439,272050,128.83485,272050,2.113217,3368308480,1.3219421,147.55,20.6964,38.69,0
VCYT,49.377518,1283850,59.881428,1283850,0.689057,3238182656,27.562988,86.03,-439.36365,19.21,4
VEEV,278.9302,989437,278.23572,989437,0.735644,38532694016,26.30094,325.54,66.77165,145.24,3
VFC,79.359924,3555262,79.77543,3555262,0.973992,31425636352,3.5879834,89.68,27.006733,47.8,3
VG,12.3108635,3630225,13.001715,3630225,0.583423,2992075264,2.5241973,15.72,48.04,6.25,4
VIAC,44.192158,62962812,72.552284,62962812,1.846695,29950253056,1.1845068,101.97,,11.92,3
VIAV,14.309065,2176462,16.393143,2176462,0.770855,3721437184,3.3605177,17.13,19.141176,10.2,4
VICI,25.65,3981037,28.014286,3981037,1.130819,14843259904,12.111272,29.87,13.615764,13.34,1
VLY,9.858849,4956512,12.857715,4956512,1.304983,5674511872,4.8797097,14.69,12.38053,6.17,0
VMC,148.93857,834100,165.42686,834100,0.597508,22578055168,4.6487265,175.02,28.822334,88.6,1
VRNS,49.50923,1542212,60.358906,1542212,1.162513,5465184768,18.672327,75.333336,296.44443,17.213333,0
VRNT,34.745686,1141187,48.945427,1141187,0.78169,3157384960,2.4983106,52.7,20.65,17.860418,4
VRSK,188.34726,1243350,177.19115,1243350,0.780606,29079535616,10.442985,210.66,30.072392,133.5,1
VRSN,200.92747,735962,194.82628,735962,0.797399,22582808576,17.851288,221.3,32.468292,171.72,1
VSH,20.140936,1183162,23.892,1183162,1.435536,3561830144,1.4236512,25.26,13.375,12.86,0
VTR,47.893383,2356575,53.49286,2356575,1.340736,20557539328,5.409463,58.1,107.588234,21.48,1
VTRS,16.209568,9336200,15.547143,9336200,1.56013,17333667840,1.4510018,19.24,,13.31,0
W,278.95978,1485075,302.71143,1485075,3.199349,35598716928,2.516672,369.0,67.65354,43.61,2
WAB,71.78878,1769037,76.502,1769037,1.672264,14828336128,1.9624325,84.32,16.773504,42.09,0
WAT,242.3397,384800,275.14316,384800,0.825027,17522536448,7.4079633,299.06,26.455315,171.38,1
WCC,67.7423,455337,84.998,455337,2.532502,4303882752,0.34917125,95.19,11.028277,20.36,2
WD,80.8805,239137,102.249146,239137,1.294691,3236355328,3.1188436,113.79,11.819208,24.55,0
WDC,50.550648,4605350,67.199715,4605350,1.644637,20594204672,1.2613587,72.98,10.117293,33.53,1
WDFC,261.64798,87175,311.78058,87175,-0.166305,4197623552,9.660791,333.42,52.15306,151.16,4
WEC,92.79266,1966675,85.78771,1966675,0.152762,29344917504,4.052214,106.85,21.685314,80.55,1
WELL,62.798203,2151800,69.90343,2151800,1.040086,30631739392,6.6504474,76.0,72.66337,36.08,3
WHR,192.19525,642287,201.86914,642287,1.888949,14003693568,0.7197622,223.31,11.126683,78.76,0
WING,135.6277,652225,136.59372,652225,1.172806,3714859264,14.930446,172.87,74.04141,73.28,0
WK,80.69899,382512,100.81943,382512,1.394366,4436988416,12.619637,114.68,2236.25,29.869,0
WLTW,210.51302,1170500,224.58714,1170500,0.777356,29581017088,3.1630688,232.34,17.310188,153.13,1
WMB,21.297626,9916887,23.312286,9916887,1.499458,29834504192,3.8650737,24.69,20.466665,12.94,3
WMS,80.48871,649562,103.07028,649562,1.430119,6984968192,3.6575513,113.85,27.451256,25.73,0
WPC,68.05964,1402025,69.018,1402025,0.775731,12516829184,10.202446,76.12,31.715555,49.01,4
WRK,42.54878,2682825,47.70657,2682825,1.26273,14119240704,0.8042127,54.0,12.636793,23.22,1
WSC,22.273668,1898337,26.733856,1898337,1.852576,6195984384,4.5304036,28.71,24.666666,8.35,0
WSM,113.41719,3321450,139.01457,3321450,1.585048,13648065536,2.0120428,184.32,17.931795,36.54,0
WST,282.24576,459237,279.07257,459237,0.98754,20700979200,9.642265,312.12,40.624638,143.66,1
WTS,115.773384,175487,119.746,175487,0.87053,4004203264,2.654251,131.51,27.648836,71.01,4
WWW,30.903238,546812,36.41857,546812,1.768689,3269471744,1.8253987,41.8,16.868086,12.19,0
WY,31.460936,4299012,34.65657,4299012,1.916576,26500896768,3.5184407,36.22,29.53333,15.11,3
WYNN,102.09144,2146000,128.94286,2146000,2.532502,14736005120,7.031003,143.88,68.88108,46.21,2
X,14.771008,19748975,19.344572,19748975,2.498916,6114790912,0.6277375,24.71,41.363636,5.46,2
XEL,66.776405,4086275,61.950855,4086275,0.271939,35651506176,3.093138,76.44,20.8522,56.07,1
XLNX,128.0613,2812950,129.46114,2812950,1.019501,30262763520,9.913178,154.93,37.20242,75.0,3
XPO,108.77554,1310337,120.06229,1310337,2.23131,12592555008,0.77483106,131.42,19.776886,43.82,2
XRAY,52.24806,1500125,58.316,1500125,0.864572,13423260672,4.0165353,64.25,19.896105,35.01,1
XYL,95.75115,1159225,100.884575,1159225,1.038461,18894305280,3.87496,108.84,34.01299,56.63,1
YETI,62.682446,1258825,71.286285,1258825,2.66126,6314971648,5.784419,80.89,28.86056,16.41,2
YUMC,57.13662,1829387,60.900856,1829387,0.852434,24980584448,3.0231857,64.64,25.834782,40.05,1
Z,124.805435,3759600,155.43828,3759600,1.418743,30947438592,9.266208,208.11,88.36111,29.42,3
ZBH,150.4064,887425,159.974,887425,1.358613,33531330560,4.773483,170.05,18.714619,88.0,3
ZBRA,371.42352,468150,472.75916,468150,1.654387,25501810688,5.7333207,516.79,27.84355,170.63,3
ZEN,129.12727,1227575,142.372,1227575,1.275731,15384035328,14.942282,166.6,124.41905,56.6,1
ZG,128.30295,766387,161.09486,766387,1.418743,30947401728,9.266197,212.4,95.710144,28.26,3
ZS,173.18097,2020637,197.31857,2020637,0.875313,23079892992,43.05685,230.881,278.32785,57.77,1
