,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
DAR,54.784317,1495950,70.65228,1495950,1.253521,12063459328,3.3773012,79.65,17.31616,16.96,0
DDD,18.303957,3981750,35.42943,3981750,1.518418,3351482880,6.0144334,56.5,77.14286,4.6,0
DECK,281.86554,308475,325.35458,308475,0.801191,9404238848,3.9859228,345.0,23.231733,118.44,4
DFS,80.53576,3646137,95.85057,3646137,1.793607,29703211008,4.9887824,104.49,9.225499,27.51,3
DGX,121.180214,1105237,121.32686,1105237,1.017876,17247725568,1.8276705,134.71,16.134832,73.02,1
DHI,74.85928,3285962,80.996284,3285962,1.63001,32678625280,1.4704337,89.98,8.904856,31.2,3
DIOD,68.82259,659725,80.88543,659725,1.101841,3562591232,2.8982654,91.02,20.788113,37.62,4
DISCK,30.425972,16155962,49.598,16155962,1.54117,18592110592,1.7423027,66.7,10.963414,16.1,1
DLTR,101.793236,1948725,106.573425,1948725,0.828819,26701027328,1.0467174,115.45,16.74817,68.43,1
DNLI,60.341656,514075,63.59257,514075,2.028225,6684365824,19.914156,93.94,-27.625,15.72,0
DOC,17.838058,2610750,17.808287,2610750,0.778981,3799007744,8.708367,20.13,47.473686,12.33,4
DOCU,226.06148,2801362,228.17343,2801362,0.857889,38626263040,26.582941,290.23,107.42554,78.72,3
DOV,121.094536,805637,128.55,805637,1.316901,20125591552,3.0111182,140.1,19.957203,76.83,1
DPZ,384.09488,643450,362.66885,643450,0.416034,14427540480,3.5040321,435.58,25.090418,310.34,4
DRE,39.268993,2176512,40.72114,2176512,0.516251,16012136448,15.943261,43.45,60.33803,28.71,1
DRI,115.321075,3104912,136.96742,3104912,1.534669,19416264704,3.1382358,149.12,22.504532,43.11,1
DTE,122.44324,1014362,124.311714,1014362,0.618634,25812187136,2.1197493,135.6,18.42877,85.53,1
DVN,15.4051075,13026687,22.081429,13026687,3.477248,15306294272,3.3991325,26.13,9.435684,5.46,2
EAT,56.02079,940737,70.72914,940737,2.777356,3323587840,1.136658,78.33,16.845621,9.8,2
EBS,97.67842,543137,100.744286,543137,1.184182,5038449152,3.2393272,137.61,17.376839,50.65,0
ED,74.13316,3255850,70.21686,3255850,0.151679,25489672192,2.0814693,90.0,16.43267,65.56,1
EFX,170.3967,613500,173.33057,613500,1.325027,22342197248,5.4130096,196.47,23.130545,105.66,1
EGHT,26.240145,948775,34.036,948775,1.033044,3511567360,6.8975577,39.17,544.5,12.32,4
EGP,137.99568,227587,141.30885,227587,0.726435,5824012288,16.043095,153.26,52.25979,90.39,4
EIX,58.46777,2471937,57.591427,2471937,0.6013,23017865216,1.6952323,66.68,12.910639,48.33,1
ELAN,30.23892,5767025,31.050285,5767025,0.886684,13167479808,4.0226927,34.81,21.098484,18.37,1
ELS,61.987988,1007575,62.46143,1007575,0.483748,11705483264,10.671938,68.52,43.68027,50.24,4
EME,86.92669,333412,102.648,333412,1.204767,6144353792,0.6984553,115.59,16.250725,52.95,0
EMN,97.69878,1373687,111.436,1373687,1.562296,15382623232,1.8154873,119.01,13.4463005,43.77,0
ENPH,142.61353,3554412,170.416,3554412,1.219393,20426500096,26.376343,229.04,55.500004,27.55,1
ENS,82.53813,344387,93.75028,344387,1.481581,3999771648,1.3576055,104.47,17.224264,41.43,0
ENSG,72.85849,401100,86.183716,401100,1.030877,5257897472,2.1884234,96.71,25.297367,28.69,4
ENTG,91.359856,682912,102.57486,682912,1.292524,14881337344,8.003675,114.0,32.361763,40.54,1
ENV,79.0987,569537,74.614,569537,1.401408,4026327296,4.0334663,92.51,31.525425,45.53,0
EPAM,345.18152,275062,374.7103,275062,1.355904,21783037952,8.19072,402.62,41.73735,158.83,1
EQH,25.023525,3899950,30.14,3899950,1.670727,13872108544,1.4462165,33.69,5.238487,12.57,0
EQR,60.112015,3015325,69.381714,3015325,0.768689,27085148160,10.5319805,76.13,71.960396,45.43,1
ES,86.41187,1956900,82.46,1956900,0.321776,29426229248,3.3046732,96.66,20.772396,73.61,1
ESNT,42.910145,1152862,43.601715,1152862,1.28169,5012397056,5.247737,49.53,7.281967,20.9,0
ESS,239.80576,439300,271.05542,439300,0.764897,18479886336,11.8695,294.79,64.038284,186.3,1
