As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,BNFT,BENEFITFOCUS INC COMMON STOCK USD.001,0.0155631000,936897.6000000000
2021-02-28,GBIO,GENERATION BIO CO COMMON STOCK USD.0001,0.0155614600,936798.8400000000
2021-02-28,IBCP,INDEPENDENT BANK CORP   MICH COMMON STOCK USD1.0,0.0154671500,931121.4900000000
2021-02-28,SUMO,SUMO LOGIC INC COMMON STOCK USD.0001,0.0153595800,924645.6800000000
2021-02-28,DHIL,DIAMOND HILL INVESTMENT GRP COMMON STOCK,0.0153301800,922876.1000000000
2021-02-28,AROW,ARROW FINANCIAL CORP COMMON STOCK USD1.0,0.0153065700,921454.9200000000
2021-02-28,ACRE,ARES COMMERCIAL REAL ESTATE REIT USD.01,0.0152846100,920132.6800000000
2021-02-28,PCVX,VAXCYTE INC COMMON STOCK USD.001,0.0152290900,916790.2800000000
2021-02-28,KRON,KRONOS BIO INC COMMON STOCK,0.0151622900,912768.9300000000
2021-02-28,CRNX,CRINETICS PHARMACEUTICALS IN COMMON STOCK USD.001,0.0150820000,907935.4900000000
2021-02-28,DX,DYNEX CAPITAL INC REIT USD.01,0.0150713300,907293.3800000000
2021-02-28,FLIC,FIRST OF LONG ISLAND CORP COMMON STOCK USD.1,0.0150609200,906666.8400000000
2021-02-28,BFST,BUSINESS FIRST BANCSHARES COMMON STOCK USD1.0,0.0150545700,906284.4700000000
2021-02-28,IMXI,INTERNATIONAL MONEY EXPRESS COMMON STOCK,0.0150383100,905305.8000000000
2021-02-28,WSBF,WATERSTONE FINANCIAL INC COMMON STOCK USD.01,0.0150208200,904252.7700000000
2021-02-28,BFS,SAUL CENTERS INC REIT USD.01,0.0149935000,902607.8600000000
2021-02-28,APEI,AMERICAN PUBLIC EDUCATION COMMON STOCK USD.01,0.0149611100,900657.9200000000
2021-02-28,HEAR,TURTLE BEACH CORP COMMON STOCK,0.0149609400,900647.8000000000
2021-02-28,VOXX,VOXX INTERNATIONAL CORP COMMON STOCK USD.01,0.0149476500,899847.8400000000
2021-02-28,INSW,INTERNATIONAL SEAWAYS INC COMMON STOCK,0.0149161600,897951.9000000000
2021-02-28,CLAR,CLARUS CORP COMMON STOCK USD.0001,0.0149042400,897234.2400000000
2021-02-28,BHB,BAR HARBOR BANKSHARES COMMON STOCK USD2.0,0.0148695800,895148.1900000000
2021-02-28,MGI,MONEYGRAM INTERNATIONAL INC COMMON STOCK USD.01,0.0148203800,892185.8700000000
2021-02-28,LTRPA,LIBERTY TRIPADVISOR HDG A COMMON STOCK,0.0148113100,891639.9900000000
2021-02-28,UEC,URANIUM ENERGY CORP COMMON STOCK USD.001,0.0148082100,891453.6400000000
2021-02-28,HCCI,HERITAGE CRYSTAL CLEAN INC COMMON STOCK USD.01,0.0148038600,891191.5800000000
2021-02-28,MEIP,MEI PHARMA INC COMMON STOCK USD.00000002,0.0147783100,889653.7500000000
2021-02-28,NRIX,NURIX THERAPEUTICS INC COMMON STOCK,0.0147580500,888433.8900000000
2021-02-28,CRAI,CRA INTERNATIONAL INC COMMON STOCK,0.0147181200,886030.2000000000
2021-02-28,AKRO,AKERO THERAPEUTICS INC COMMON STOCK USD.0001,0.0146637200,882755.2000000000
2021-02-28,ACBI,ATLANTIC CAPITAL BANCSHARES COMMON STOCK,0.0146489700,881867.2500000000
2021-02-28,RBCAA,REPUBLIC BANCORP INC CLASS A COMMON STOCK,0.0146392900,881284.5200000000
2021-02-28,UVE,UNIVERSAL INSURANCE HOLDINGS COMMON STOCK USD.01,0.0145803400,877735.7200000000
2021-02-28,GDYN,GRID DYNAMICS HOLDINGS INC COMMON STOCK USD.0001,0.0145759000,877468.4100000000
2021-02-28,ALRS,ALERUS FINANCIAL CORP COMMON STOCK USD1.0,0.0145145100,873772.6200000000
2021-02-28,GRTS,GRITSTONE ONCOLOGY INC COMMON STOCK USD.0001,0.0144484600,869796.2900000000
2021-02-28,CPSI,COMPUTER PROGRAMS + SYSTEMS COMMON STOCK USD.001,0.0144398500,869278.0000000000
2021-02-28,ORC,ORCHID ISLAND CAPITAL INC REIT USD.01,0.0143789800,865613.9100000000
2021-02-28,CCRN,CROSS COUNTRY HEALTHCARE INC COMMON STOCK USD.0001,0.0143732500,865269.0200000000
2021-02-28,MOFG,MIDWESTONE FINANCIAL GROUP I COMMON STOCK USD.01,0.0143713700,865155.7600000000
2021-02-28,RNA,AVIDITY BIOSCIENCES INC COMMON STOCK,0.0143485400,863781.6100000000
2021-02-28,ZIXI,ZIX CORP COMMON STOCK USD.01,0.0143370700,863091.0000000000
2021-02-28,VSTM,VERASTEM INC COMMON STOCK USD.0001,0.0143289600,862602.7500000000
2021-02-28,CUE,CUE BIOPHARMA INC COMMON STOCK USD.001,0.0143203500,862084.6200000000
2021-02-28,MPAA,MOTORCAR PARTS OF AMERICA IN COMMON STOCK USD.01,0.0143120500,861584.6400000000
2021-02-28,TG,TREDEGAR CORP COMMON STOCK,0.0142944700,860526.6000000000
2021-02-28,VPG,VISHAY PRECISION GROUP COMMON STOCK,0.0142728900,859227.2000000000
2021-02-28,PLSE,PULSE BIOSCIENCES INC COMMON STOCK USD.001,0.0142280500,856527.7500000000
2021-02-28,DJCO,DAILY JOURNAL CORP COMMON STOCK USD.01,0.0141639500,852669.3000000000
2021-02-28,GDEN,GOLDEN ENTERTAINMENT INC COMMON STOCK USD.01,0.0141340500,850869.0400000000
2021-02-28,LLNW,LIMELIGHT NETWORKS INC COMMON STOCK USD.001,0.0140452600,845523.9000000000
2021-02-28,HCKT,HACKETT GROUP INC/THE COMMON STOCK USD.001,0.0140201300,844011.0800000000
2021-02-28,APTS,PREFERRED APARTMENT COMMUN A REIT USD.01,0.0140150700,843706.6800000000
2021-02-28,HOFT,HOOKER FURNITURE CORP COMMON STOCK,0.0140131900,843593.3100000000
2021-02-28,TXMD,THERAPEUTICSMD INC COMMON STOCK USD.001,0.0139824700,841744.0800000000
2021-02-28,VRS,VERSO CORP   A COMMON STOCK,0.0139647100,840675.0000000000
2021-02-28,SCU,SCULPTOR CAPITAL MANAGEMENT COMMON STOCK,0.0138949800,836477.2800000000
2021-02-28,RGP,RESOURCES CONNECTION INC COMMON STOCK USD.01,0.0138751300,835282.3600000000
2021-02-28,CTSO,CYTOSORBENTS CORP COMMON STOCK USD.001,0.0138323900,832709.1600000000
2021-02-28,AMK,ASSETMARK FINANCIAL HOLDINGS COMMON STOCK USD.001,0.0137980500,830641.7600000000
2021-02-28,LAND,GLADSTONE LAND CORP REIT USD.001,0.0137812600,829630.8600000000
2021-02-28,NLTX,NEOLEUKIN THERAPEUTICS INC COMMON STOCK USD.000001,0.0137750100,829255.0000000000
